                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.35097,                0.95388,                 1.1228,                0.97362,                0.99538,                0.98209,                0.91815,                0.37684,                0.55905,                0.77485,             0.00066207,             0.00066207,             0.00066207
                      2,                0.29265,                0.49155,                 1.0732,                0.97719,                0.98856,                0.97866,                0.87338,                0.45443,                0.48136,                0.96544,              0.0013156,              0.0013156,              0.0013156
                      3,                0.28724,                0.39488,                 1.0569,                0.97699,                      1,                0.98185,                 0.9177,                0.44486,                0.65534,                0.72714,              0.0019559,              0.0019559,              0.0019559
                      4,                0.28402,                0.34956,                 1.0616,                0.98126,                      1,                0.98371,                0.92959,                0.35179,                 0.3662,                0.68954,              0.0019406,              0.0019406,              0.0019406
                      5,                0.27242,                0.32509,                 1.0573,                0.98043,                0.99846,                0.98125,                0.90488,                0.41858,                0.39671,                0.73314,              0.0019208,              0.0019208,              0.0019208
                      6,                0.23958,                0.30133,                 1.0288,                0.97592,                0.99538,                0.98622,                0.91181,                0.51317,                 0.3237,                0.76675,               0.001901,               0.001901,               0.001901
                      7,                0.24746,                0.29209,                 1.0401,                0.98002,                0.99846,                0.98123,                0.91103,                0.44797,                 0.3708,                0.66878,              0.0018812,              0.0018812,              0.0018812
                      8,                0.23865,                0.28895,                 1.0346,                0.72304,                0.99846,                0.91002,                0.77716,                 0.4513,                0.81021,                0.63548,              0.0018614,              0.0018614,              0.0018614
                      9,                  0.233,                0.26905,                 1.0345,                0.97677,                      1,                0.98358,                0.92477,                0.38165,                0.64059,                0.61832,              0.0018416,              0.0018416,              0.0018416
                     10,                0.23354,                0.26901,                 1.0379,                0.98052,                      1,                 0.9851,                0.91087,                0.50182,                0.44179,                 0.7598,              0.0018218,              0.0018218,              0.0018218
                     11,                0.21455,                0.25514,                 1.0293,                0.97928,                0.99846,                0.98042,                0.91555,                0.40327,                0.35295,                0.68054,               0.001802,               0.001802,               0.001802
                     12,                0.21281,                0.25216,                 1.0279,                0.98029,                      1,                 0.9807,                0.92585,                0.40377,                0.36907,                0.64556,              0.0017822,              0.0017822,              0.0017822
                     13,                0.21211,                0.26143,                 1.0221,                0.98187,                0.99966,                0.98043,                0.93641,                 0.4463,                0.40463,                0.70807,              0.0017624,              0.0017624,              0.0017624
                     14,                0.21542,                 0.2466,                   1.02,                0.98156,                      1,                0.97974,                0.93942,                0.38514,                0.33411,                0.61396,              0.0017426,              0.0017426,              0.0017426
                     15,                0.20563,                0.23899,                 1.0151,                0.98187,                0.99996,                0.98302,                0.93667,                0.43088,                0.37539,                0.69647,              0.0017228,              0.0017228,              0.0017228
                     16,                0.19306,                0.22887,                 1.0127,                0.49765,                      1,                 0.4975,                0.46666,                0.36315,                0.78879,                 0.5904,               0.001703,               0.001703,               0.001703
                     17,                0.19642,                0.22954,                 1.0126,                0.95283,                0.99846,                0.97807,                0.92016,                0.40624,                 0.4722,                 0.6615,              0.0016832,              0.0016832,              0.0016832
                     18,                0.19965,                0.23615,                 1.0138,                0.98179,                      1,                0.98187,                0.92976,                0.34593,                0.31235,                0.59632,              0.0016634,              0.0016634,              0.0016634
                     19,                0.19229,                0.22356,                   1.01,                0.97985,                0.99692,                 0.9831,                0.89375,                0.55686,                  0.489,                0.63568,              0.0016436,              0.0016436,              0.0016436
                     20,                0.19425,                0.23174,                 1.0085,                0.96469,                      1,                0.98625,                0.94297,                 0.3881,                0.44481,                0.62168,              0.0016238,              0.0016238,              0.0016238
                     21,                0.18855,                 0.2261,                 1.0042,                0.98018,                0.99846,                0.98562,                0.93904,                 0.3677,                0.31378,                0.59295,               0.001604,               0.001604,               0.001604
                     22,                0.18591,                0.23416,                 1.0036,                0.98178,                      1,                0.98378,                0.94537,                 0.4199,                0.34213,                0.66271,              0.0015842,              0.0015842,              0.0015842
                     23,                0.19398,                0.22865,                 1.0172,                 0.9803,                      1,                0.98311,                0.94589,                0.36517,                0.31901,                0.57961,              0.0015644,              0.0015644,              0.0015644
                     24,                0.19151,                0.24194,                 1.0094,                0.70314,                      1,                0.88036,                0.76472,                0.29314,                0.53571,                0.57335,              0.0015446,              0.0015446,              0.0015446
